reed, seed, seen, sean, span
wire, wine, pine, pink, pick
fade, fate, rate, rats, rays
sink, sins, sons, tons, tops
boss, bass, bats, hats, hans
give, live, love, lone, zone
lane, land, lend, send, sent
gray, pray, play, clay, clan
poem, poet, post, most, moss
tons, tone, bone, bond, band
sits, sins, mins, miss, mess
bats, hats, hans, hang, yang
cape, tape, tale, pale, palm
pale, pace, pack, park, para
cars, cats, bats, bath, path
poll, pole, pose, post, poet
rare, rate, hate, hats, hits
save, wave, wade, wide, wine
bull, pull, poll, pole, pope
type, hype, hope, nope, note
fill, till, toll, told, todd
five, fine, line, lane, late
mode, node, none, done, dong
fake, fare, bare, bars, ears
foul, fool, foot, root, roof
jack, back, bark, bare, base
wire, wise, rise, rice, race
gone, none, note, nate, nato
flee, fled, feed, feel, heel
vibe, vice, rice, rise, risk
date, dare, fare, fire, tire
rail, raid, reid, reed, seed
eats, bats, bass, base, ease
juan, joan, join, coin, corn
laid, raid, reid, read, dead
hell, hall, hail, rail, rain
lone, tone, tons, tens, lens
mill, bill, bell, belt, bolt
sort, sore, core, cone, lone
park, dark, dare, fare, farm
walt, halt, hall, hail, jail
seat, seal, sell, bell, bull
half, hall, hail, mail, main
mill, mile, mice, rice, ride
wall, call, carl, cars, bars
mint, mine, nine, none, tone
time, tide, ride, rode, role
pure, cure, core, cope, pope
dick, dock, cock, cook, cool
path, math, mate, late, lace
loud, lord, cord, core, cure
hats, hate, fate, fare, fire
mood, food, fond, find, fine
foul, fool, wool, wood, word
dale, male, mile, mice, nice
sang, lang, lane, late, rate
read, lead, lend, bend, bent
meme, mere, more, bore, bare
dick, rick, rack, rank, tank
corp, cord, ford, form, norm
miss, mins, wins, wing, wang
lack, back, bark, bare, bore
core, care, cart, cant, cunt
file, fine, nine, none, note
lean, lead, load, lord, word
hall, fall, fill, file, five
joke, jose, lose, lost, last
near, neat, seat, seas, sets
yale, sale, sole, sold, gold
fear, feat, feet, feed, seed
rail, raid, rand, rank, rack
tape, cape, caps, cars, wars
call, carl, care, cake, coke
halt, hart, cart, care, bare
wide, wire, fire, file, fill
earn, barn, bare, fare, fame
ward, hard, hand, hang, sang
told, toll, tall, tail, jail
pale, male, mall, hall, half
rice, mice, mile, mill, will
hope, hole, hold, bold, bald
mask, mark, park, pack, pace
hard, card, cord, lord, loud
heal, hear, heir, hair, fair
firm, farm, fare, fake, make
piss, pins, sins, sims, sums
bald, bold, bond, bone, none
fork, ford, food, fool, foul
solo, sole, sale, salt, walt
cars, care, came, camp, lamp
vice, rice, race, rate, gate
hull, hell, heal, hear, fear
toss, boss, bass, base, ease
role, cole, cold, told, todd
none, done, dont, wont, went
tory, tony, tone, done, dont
boss, bass, base, case, cave
beds, bees, sees, seem, stem
sure, sore, some, home, hope
bars, cars, cart, cant, cent
line, link, sink, sick, suck
tall, tale, dale, dave, gave
form, firm, fire, tire, time
pays, pass, bass, bash, dash
mins, sins, sons, sony, tony
hits, hats, cats, caps, cops
chen, then, teen, been, beef
rose, rome, some, same, sake
rail, tail, tall, tale, pale
love, live, five, fire, firm
cold, cord, corp, coup, soup
cups, cops, cope, nope, note
porn, port, fort, font, dont
west, best, belt, bolt, bout
sage, sale, sole, hole, hold
well, will, mill, mile, mice
goat, coat, coal, cool, tool
nate, rate, race, rack, back
roll, toll, tell, hell, help
name, came, care, carl, karl
made, mode, more, sore, sure
foam, form, farm, harm, hart
coin, corn, core, care, cars
safe, sale, male, mile, mill
thin, chin, chip, ship, slip
copy, cope, cole, cold, fold
jake, make, mike, mile, mild
lane, land, laid, paid, pain
mate, date, dare, dark, mark
boat, beat, bear, dear, deer
yang, wang, want, went, tent
case, care, card, hard, hand
wade, made, male, mall, fall
nick, nice, nine, fine, finn
joke, coke, cone, tone, tony
luke, like, line, lone, long
good, gold, bold, bolt, belt
roll, toll, tall, tail, jail
nude, node, none, lone, line
yard, card, care, came, name
heir, hear, heat, seat, stat
sets, sees, seed, feed, fled
marc, mark, dark, dare, dave
laid, land, lane, lone, zone
band, land, lane, jane, june
goes, toes, tons, tens, tent
punk, pink, pine, fine, five
earl, carl, care, core, cone
bury, burn, barn, bark, dark
move, love, lone, done, dong
lend, land, band, bald, ball
wall, call, carl, care, cave
dare, date, mate, math, bath
bill, mill, milk, mick, kick
mall, fall, fill, file, five
seed, send, sand, band, bald
nuts, nets, lets, less, mess
dong, done, lone, lane, lake
coal, coat, cost, post, port
card, cord, ford, fond, pond
fill, bill, ball, bald, band
reef, reed, feed, feel, peel
vote, note, nope, hope, hype
tiny, tony, tone, bone, bore
free, fred, feed, seed, seek
cats, cans, cant, cent, bent
lisa, list, lost, lose, rose
cube, cure, care, cage, wage
rats, rate, rage, sage, safe
desk, disk, dish, dash, nash
neil, nail, hail, hair, heir
cure, core, cone, done, dong
beth, bath, bash, bush, bust
rock, rick, rice, ride, wide
talk, tall, call, carl, care
bike, bake, fake, face, fact
wind, wine, wide, wade, made
coat, boat, beat, bent, bend
land, lend, tend, tent, text
mate, date, dame, damn, dawn
slap, swap, swan, sean, seas
cats, bats, bass, mass, miss
give, five, fine, find, fond
sole, pole, pile, file, film
type, tape, rape, rate, gate
rose, rise, rice, nice, nick
kirk, kick, dick, disk, dish
bank, band, sand, said, sail
mick, rick, rice, ride, tide
tony, tory, torn, town, down
come, rome, rose, rise, risk
bold, cold, cord, corn, coin
june, jane, lane, lame, name
role, pole, pale, palm, calm
cows, cops, cope, core, corn
note, none, done, dong, kong
goin, coin, chin, thin, than
math, bath, bats, bars, bare
fire, fine, wine, wing, ring
lack, back, bank, bang, hang
fuel, full, fall, call, calm
sake, bake, bare, bark, park
jane, june, tune, tone, tons
wars, ward, word, ford, fond
wide, side, site, sits, kits
ball, bell, belt, bent, kent
dame, lame, lime, life, lift
hill, hell, heal, hear, wear
bell, belt, bolt, boot, boom
cake, jake, joke, jose, pose
date, late, lane, lang, bang
moss, miss, mins, mint, hint
lucy, luck, duck, deck, heck
aunt, hunt, hint, mint, mins
near, fear, feat, felt, fell
bore, wore, were, here, hero
date, dame, dome, done, tone
last, list, lift, life, wife
hint, mint, mine, pine, pink
gone, cone, cole, role, roll
bass, bats, bets, lets, legs
hard, card, cord, cold, gold
rice, rise, rose, dose, dome
cone, lone, line, mine, mind
feet, feat, seat, sean, scan
race, rare, care, cure, curb
wire, wise, rise, rice, rico
life, lift, list, lost, cost
boss, loss, lost, list, lift
peak, leak, lead, lend, bend
swan, sean, dean, dear, gear
nike, mike, make, cake, came
gate, date, dale, tale, tall
lack, pack, park, pork, fork
rays, ways, wars, cars, card
beam, bean, lean, lead, lend
same, some, rome, rode, ride
cups, caps, cape, came, name
jade, jane, lane, land, lend
tube, cube, cure, care, cart
matt, mate, male, mile, file
gave, gate, nate, note, node
fail, fall, mall, male, mate
barn, bars, bass, boss, loss
life, live, love, lose, dose
hers, here, hire, tire, tide
fist, list, lost, loss, moss
coup, corp, corn, coin, chin
seas, sets, bets, bats, bass
nate, mate, male, mile, mild
bare, bars, bass, boss, boys
more, wore, wire, wife, wifi
norm, form, farm, fare, fate
land, lane, lame, dame, damn
goat, boat, beat, bent, sent
coup, corp, corn, coin, doin
role, rode, mode, made, wade
lift, list, fist, fast, fact
meet, feet, feed, seed, send
time, lime, line, lone, bone
beta, bets, bats, hats, hans
sail, tail, tall, toll, poll
sang, hang, hand, hard, hart
same, some, dome, done, dong
hold, fold, ford, fork, pork
wish, wise, wire, fire, firm
live, five, fire, fare, bare
kane, kate, date, dale, sale
none, node, rode, rude, rule
ways, wars, bars, bare, bore
wake, lake, lane, land, lend
easy, ease, base, bare, barn
nude, node, note, nate, date
dope, rope, rode, ride, wide
bats, cats, caps, cops, cows
alan, clan, chan, chat, coat
mins, mine, line, lane, late
head, lead, load, lord, cord
deaf, leaf, lead, lend, tend
test, tent, went, want, wang
july, jury, bury, busy, bust
maps, caps, cape, cage, page
lose, lone, line, fine, finn
hunt, cunt, cant, cart, carl
lake, lace, lack, back, buck
mini, mins, miss, moss, ross
rico, rick, rock, cock, cook
vast, past, part, park, bark
some, same, sake, lake, like
then, teen, been, bean, bear
fate, fare, bare, bars, mars
note, nope, cope, cape, cafe
palm, calm, call, wall, well
note, nate, name, same, sake
role, cole, core, cord, ford
pays, pass, bass, bags, bugs
lens, less, mess, mass, pass
mate, male, pale, pole, pose
wine, wide, wade, wage, cage
miss, mass, mars, ears, earn
cast, cash, bash, bath, path
heal, hell, fell, fill, file
kids, kiss, piss, pass, past
hole, cole, core, care, carl
save, cave, care, cars, mars
bias, bits, bats, bags, tags
lost, last, cast, cant, cunt
cave, care, carl, call, ball
news, nets, sets, sits, site
fist, list, lost, post, port
bolt, belt, bell, fell, feel
kent, bent, belt, bell, yell
cole, core, corn, torn, turn
gain, rain, rail, tail, tall
rape, rate, nate, note, vote
bend, bond, bone, bore, more
long, song, sang, sand, said
sand, said, sail, hail, haul
lead, lend, bend, bond, bold
cell, call, carl, care, came
food, fold, hold, hole, hope
meet, feet, fees, sees, seen
stan, sean, mean, meat, melt
feat, heat, heal, hell, hull
work, wore, core, care, cage
rear, fear, feat, flat, flag
tell, bell, bull, bulk, buck
role, roll, toll, tell, sell
less, lets, bets, bees, fees
more, mode, rode, rose, ross
fake, fare, bare, bars, bags
eats, hats, hate, gate, game
aims, sims, sins, sing, king
nine, nice, nick, kick, kirk
harm, hart, cart, cant, want
code, mode, made, mate, matt
tall, toll, tool, fool, foot
sang, lang, lane, lake, like
form, farm, fare, fate, late
dive, dave, dare, rare, race
wind, wine, wire, wore, bore
sold, fold, food, mood, moon
site, bite, bike, nike, nine
pull, pill, pile, pale, palm
wipe, pipe, pile, pill, hill
bike, like, lake, lane, lang
lame, lime, time, tire, hire
jade, jane, june, jung, hung
kiss, kids, aids, adds, odds
self, sell, hell, heal, hear
east, ease, case, cape, tape
full, fell, feel, feed, seed
fare, farm, harm, hard, hand
tape, cape, care, carl, earl
dave, dare, dark, park, pork
bias, bits, bats, bass, boss
fire, fare, bare, bars, bass
till, toll, poll, pole, pope
most, post, port, pork, work
tony, tone, done, dong, doug
cape, care, carl, call, cell
rick, rack, race, face, fade
pose, rose, rise, wise, wire
note, none, nine, fine, find
page, cage, case, cast, last
bait, bail, ball, bill, fill
give, live, love, move, mode
piss, miss, mins, mine, mice
fund, fond, ford, word, wore
chat, that, than, then, they
card, care, core, cope, pope
jane, june, jung, sung, song
tips, tops, toss, moss, miss
boat, bolt, bold, cold, cord
fred, feed, seed, seem, stem
wear, bear, beat, belt, bolt
here, hire, wire, wise, wish
lose, lone, cone, core, corp
make, mike, like, live, dive
make, lake, lane, lone, zone
mild, mile, male, make, fake
were, wire, fire, fare, farm
said, sand, hand, hard, hart
pile, pill, till, toll, tool
vent, bent, best, bust, must
nope, none, done, dont, font
fade, made, male, mile, milk
want, cant, cans, cats, rats
turn, torn, porn, port, fort
none, lone, lose, lost, most
seed, feed, feel, fell, tell
bass, pass, piss, kiss, kids
hunt, cunt, cant, want, wait
nice, nine, wine, wing, sing
earl, carl, cart, cast, fast
gate, gave, save, sage, saga
male, mile, mike, bike, bite
hans, hang, hong, song, sons
sins, sing, sang, lang, land
bets, beth, bath, math, mate
pope, pole, poll, pool, poor
rule, rude, ride, rice, vice
gang, wang, wing, wine, wire
pony, pond, bond, bend, send
boyd, bond, fond, find, wind
wear, bear, beat, bent, went
lang, land, lend, lens, tens
lord, cord, core, coke, cake
