bore, sore, sort, port
find, mind, mins, miss
coin, chin, thin, than
jane, june, tune, tube
make, wake, wave, have
doom, door, poor, pour
wine, mine, mins, miss
spin, skin, skip, slip
cure, care, cars, wars
mice, mile, pile, pale
seal, sell, bell, bull
ease, case, cape, rape
sure, cure, care, came
ears, cars, care, came
haul, hall, hell, heal
jose, lose, lone, bone
lost, lose, dose, dope
pack, back, bark, bare
jill, till, tall, talk
hair, heir, hear, near
jets, bets, bees, beer
sink, link, line, live
camp, came, cave, gave
tube, cube, cubs, cups
hard, hand, hang, yang
ross, rose, rome, home
rage, race, rack, back
land, hand, hans, fans
tune, tone, tons, tens
bash, base, bake, jake
spot, spit, spin, span
best, belt, bell, sell
fare, bare, bark, back
land, lane, lone, gone
kill, pill, poll, pool
bars, bass, bash, wash
fool, wool, wood, word
poll, pole, pose, post
tone, done, dose, pose
wash, cash, case, cage
mild, mind, find, fond
sees, fees, feel, fuel
dude, rude, rode, mode
done, lone, line, wine
rome, some, same, name
sons, song, hong, hang
bait, bail, tail, tall
rear, wear, weak, peak
lets, bets, beth, both
port, part, cart, cant
saga, sage, safe, cafe
band, bend, bent, cent
base, bake, make, made
line, lime, lame, lamp
jade, jake, sake, sale
ross, rose, rome, come
bull, bell, belt, bent
mill, mile, file, fine
wild, wind, mind, mint
sage, save, dave, dive
caps, maps, mass, mess
wear, weak, week, seek
tell, tall, tale, yale
sits, hits, hats, hate
monk, mock, mick, sick
gate, late, lake, like
home, some, same, name
tony, tone, done, dong
pale, male, make, lake
give, gave, dave, date
care, dare, date, data
fame, came, camp, ramp
bent, bend, bond, pond
stop, shop, shot, spot
pill, fill, film, firm
caps, cops, cope, code
half, hall, tall, tail
mick, mice, mike, make
lend, bend, bent, beat
year, fear, feat, meat
what, chat, chan, khan
nine, wine, wing, sing
boom, boot, bolt, belt
were, wore, core, care
pigs, pins, pine, nine
case, base, bare, bars
cole, core, cure, cute
lord, load, lead, leak
ball, bail, sail, soil
leon, lean, lead, read
tube, tune, tone, done
haul, hall, hell, help
matt, mate, male, mall
sand, rand, rank, rack
mark, park, para, papa
mild, mind, wind, wing
camp, came, care, bare
fist, list, lost, most
heck, deck, dock, mock
call, ball, bell, belt
ears, eats, rats, rays
lord, ford, fond, pond
rage, cage, case, ease
sure, sore, sole, sale
code, core, cure, cube
bond, bend, lend, lead
beds, bets, bats, eats
rage, rape, rope, cope
loud, lord, ford, fort
nine, line, lane, jane
dean, dead, head, held
wood, word, lord, load
nina, nine, mine, mile
tone, cone, coke, woke
dome, done, lone, line
cave, care, cart, cant
mean, meal, heal, hell
bars, bare, bore, more
pace, lace, lake, cake
carl, care, cage, sage
bell, belt, melt, meet
cuts, cats, cans, fans
dull, bull, ball, call
sore, bore, born, burn
move, love, live, like
milk, mill, mall, mail
beat, feat, feet, feel
fire, file, mile, milk
fail, fall, full, pull
lean, dean, dear, fear
with, wish, wise, wife
dale, date, kate, kane
tips, tops, toys, boys
rome, role, pole, pile
sims, sins, sing, song
boat, beat, bent, sent
tick, rick, rack, rank
wade, wave, dave, dame
beds, bids, kids, kiss
heir, hear, dear, dean
root, boot, book, look
fees, feet, feat, seat
gone, lone, lane, lame
nest, neat, heat, heal
worn, wore, wire, wide
sole, sold, told, todd
cope, coke, cake, sake
node, code, coke, cake
juan, jean, dean, dead
neil, nail, tail, tall
farm, form, ford, cord
doom, boom, boot, foot
beam, bean, jean, juan
alot, slot, slow, blow
yang, wang, wing, wins
